time,tx,ty,qlat,qsens,lw,sw,precip,,,
233.25,0,0,-19.62496239,-22.40959471,3.16574796,-2.80E-05,1.99E+06,,,
233.5,0,0,31.96598766,14.70495363,16.20432658,-42.67054638,2.33E+06,,,
233.75,0,0,118.8000684,68.14778721,77.02803075,-371.6787557,6.53E+05,,,
234,0,0,67.71846583,29.76383173,91.39387504,-77.3245755,1.78E+05,,,
234.25,0,0,53.83129406,24.49959013,71.53367807,-2.80E-05,9.08E+05,,,
234.5,0,0,79.00807988,51.72643073,81.42759593,-118.8744992,2.00E+05,,,
234.75,0,0,125.9070866,100.9619962,91.75095685,-416.2887724,7.85E+04,,,
235,0,0,118.6950492,75.47699988,111.0346301,-96.67527537,9.44E+03,,,
235.25,0,0,115.659583,83.28399487,106.7590872,-2.80E-05,2.02E+04,,,
235.5,0,0,48.45716061,34.63309298,74.84613834,-72.67785363,3.77E+05,,,
235.75,0,0,28.25072389,29.49541242,51.06241537,-184.7395415,2.35E+06,,,
236,0,0,19.19728973,11.38019559,29.11418888,-35.43311344,2.17E+06,,,
236.25,0,0,44.72561068,30.68700655,42.95084132,-2.80E-05,1.06E+06,,,
236.5,0,0,62.03298488,43.35595901,80.89009826,-115.4149218,9.20E+04,,,
236.75,0,0,90.58685583,76.91476971,88.55349582,-412.2058868,5.68E+05,,,
237,0,0,89.0780974,62.40900341,89.58956486,-80.2342212,2.15E+05,,,
237.25,0,0,85.30597081,76.20597482,80.84188788,-2.80E-05,4.76E+05,,,
237.5,0,0,80.14998219,64.64063354,75.73448834,-91.11320223,8.48E+05,,,
237.75,0,0,81.06831571,73.48261599,69.89959835,-287.5051383,6.71E+05,,,
238,0,0,82.46363822,63.40418046,72.44678112,-61.12779928,3.26E+05,,,
238.25,0,0,89.42002525,76.15408724,88.50293745,-2.80E-05,7.75E+05,,,
238.5,0,0,88.73067451,66.8774863,86.0056279,-115.7885567,5.48E+05,,,
238.75,0,0,89.08830695,75.92753203,92.62453334,-414.7950352,5.88E+05,,,
239,0,0,95.51052414,66.85046969,96.59867304,-85.97327608,1.28E+05,,,
239.25,0,0,89.90774153,73.58769362,98.82816899,-2.80E-05,4.87E+05,,,
239.5,0,0,78.85931501,55.94490652,97.22092748,-137.6099354,9.14E+04,,,
239.75,0,0,61.46680023,47.99689165,103.8721838,-494.5895467,2.32E+05,,,
