z,t,s,d
381.0152421,4.131404668,34.88680036,27.682308587880016
385.9588418,4.142686832,34.88984117,27.68352754557941
390.9023227,4.154765031,34.89345628,27.68511671584588
395.8456849,4.137906199,34.89296007,27.6865164818862
400.7889283,4.119005752,34.89121164,27.687133494341197
405.732053,4.117078588,34.89103376,27.687196472946198
410.675059,4.113589739,34.89139025,27.687850043610297
415.6179463,4.109159412,34.89159111,27.688479479991884
420.560715,4.105323884,34.89253913,27.689639963936997
425.503365,4.08167438,34.89025104,27.690322058200536
430.4458963,4.051305674,34.88656706,27.69059437339297
435.388309,4.02313632,34.88435363,27.69179427256313
440.3306032,3.988175708,34.88021718,27.69216418596602
445.2727787,4.00151771,34.88199773,27.692185533245492
450.2148357,3.983827173,34.88129043,27.6934725361898
455.1567741,3.981832141,34.8816342,27.693954456762185
460.098594,3.975954262,34.88159875,27.69453989264457
465.0402954,3.981547345,34.88283678,27.694941130825555
469.9818783,3.972751938,34.88257301,27.69564931114769
474.9233427,3.958565946,34.8809043,27.69580014547296
479.8646886,3.934916057,34.87790165,27.695870301954756
484.8059161,3.917424422,34.87687116,27.696864976496954
489.7470251,3.868654565,34.8712664,27.697443911624987
494.6880158,3.87288736,34.87216795,27.697725294868178
499.628888,3.883824849,34.87387592,27.69795647934484
504.5696419,3.865542175,34.87156873,27.698005237223015
509.5102774,3.848103103,34.86947282,27.698131225521365
514.4507946,3.838104864,34.86862038,27.698479716248357
519.3911934,3.838373629,34.87012785,27.69965225027113
524.331474,3.806097091,34.86774101,27.701059584321
529.2716362,3.787059276,34.8653684,27.701115377117503
534.2116802,3.821761181,34.86994395,27.70120987899645
539.1516059,3.7989879539999998,34.86719765,27.701353766789907
544.0914134,3.777435711,34.86579315,27.70243506912675
549.0311027,3.747558472,34.86229324,27.702687813806506
553.9706737,3.747896575,34.86275981,27.703025037254747
558.9101266,3.732352543,34.8623065,27.70424126434409
563.8494613,3.763303766,34.86637087,27.704334371976756
568.7886778,3.728039435,34.8623847,27.704740670898673
573.7277763,3.72154199,34.86197081,27.70506911393545
578.6667565,3.696046218,34.85963073,27.7057825429506
583.6056187,3.716180202,34.8621979,27.705792648860097
588.5443629,3.65397195,34.85453732,27.70596073416391
593.4829889,3.66135465,34.85558825,27.706056329117928
598.4214969,3.680576757,34.85827434,27.70626195345403
603.3598869,3.659272448,34.85606693,27.706646877475805
608.2981588,3.669380678,34.85886129,27.707856602015227
613.2363128,3.662672634,34.85873056,27.708427034993974
618.1743488,3.669201296,34.86077041,27.70939542279325
623.1122668,3.709554251,34.86596044,27.709459551516602
628.0500668,3.728169356,34.87000378,27.710795518771874
632.987749,3.718141011,34.86943013,27.71135434881785
637.9253132,3.701831703,34.86752076,27.711482795312577
642.8627596,3.714179022,34.86967368,27.71194927324609
647.800088,3.718386479,34.87085871,27.712467296030127
652.7372986,3.71143739,34.87054277,27.712918816433785
657.6743914,3.706032359,34.86989613,27.712950287070953
662.6113663,3.707628968,34.87040208,27.713191870981746
667.5482235,3.681626364,34.86764778,27.713622633294335
672.4849628,3.690437991,34.86916358,27.713941547641525
677.4215844,3.708563084,34.87302124,27.715183534323387
682.3580882,3.714887934,34.87402828,27.71534581702349
687.2944743,3.714515885,34.87446867,27.71573422024062
692.2307426,3.708974049,34.87417827,27.71606352732647
697.1668933,3.692797601,34.87240881,27.716288359653845
702.1029262,3.65882042,34.86859156,27.716669582384156
707.0388415,3.657911727,34.86882791,27.716949182849703
711.9746392,3.65774114,34.8688796,27.71700750232708
716.9103192,3.596736086,34.86156538,27.717287399334054
721.8458816,3.667863382,34.8706888,27.7174308989604
726.7813264,3.583777758,34.86016305,27.71746128883069
731.7166536,3.595940701,34.86189652,27.7176305662681
736.6518632,3.617811343,34.86468653,27.717669603195873
741.5869553,3.633516269,34.86686006,27.717829340557728
746.5219299,3.668764325,34.87148528,27.71797471096238
751.4567869,3.640532589,34.87094381,27.72037946400087
756.3915265,3.624526777,34.86917493,27.720573784598855
761.3261486,3.618678445,34.86876065,27.720828851185843
766.2606532,3.612071868,34.86892903,27.721623498152894
771.1950403,3.616162295,34.86998448,27.722055531640535
776.1293101,3.552455263,34.86262431,27.722535419073893
781.0634624,3.634089426,34.87299642,27.722660654642823
785.9974973,3.529150035,34.86069644,27.723307379417065
790.9314149,3.536699273,34.86170365,27.723363076894884
795.865215,3.564617486,34.86530487,27.723464179302255
800.7988979,3.547489234,34.86328869,27.72355732526944
805.7324634,3.596827057,34.86957451,27.72365989000059
810.6659116,3.555580503,34.86621571,27.72508734381381
815.5992426,3.554197944,34.86615221,27.725173935726616
820.5324562,3.558662898,34.86753611,27.725833601680733
825.4655526,3.547428271,34.86623893,27.725914482485678
830.3985318,3.553233815,34.86702308,27.725963597742748
835.3313937,3.530859422,34.86474482,27.72636472612112
840.2641384,3.523342702,34.86418167,27.726659235777788
845.1967659,3.519487184,34.86418835,27.727045562123294
850.1292763,3.518979855,34.86429579,27.727181312793164
855.0616695,3.5136656,34.86514951,27.728386568936912
859.9939456,3.521679647,34.86656831,27.728725740186974
864.9261045,3.51964755,34.86634578,27.728749190435565
869.8581464,3.529021913,34.86832772,27.729401982199533
874.79007120000006,3.537036331,34.86995304,27.729904075737977
879.7218788,3.527017776,34.8698204,27.73078985250345
884.6535695,3.517019301,34.869005,27.73112825132671
889.5851431,3.51027005,34.86861379,27.731482859559264
894.5165997,3.514887336,34.86969621,27.731889723441327
899.4479393,3.506375446,34.86919235,27.73232828604955
904.3791619,3.516664415,34.8705789,27.73241771980497
909.3102675,3.514455222,34.87138677,27.733279799638012
914.2412562,3.521939322,34.87242043,27.733364186482504
919.172128,3.510215788,34.87125155,27.73359058282881
924.1028828,3.514739674,34.87186266,27.733630999750858
